id,source_unique_tokens,source_word_count,source_line_count,mean_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_neighborhood_crps,add_count_marginal_minus_neighborhood_crps,add_count_marginal_lower_80,add_count_marginal_upper_80,add_count_marginal_covered_80,add_count_marginal_width_80,add_count_marginal_interval_score_80,add_count_neighborhood_lower_80,add_count_neighborhood_upper_80,add_count_neighborhood_covered_80,add_count_neighborhood_width_80,add_count_neighborhood_interval_score_80,add_count_marginal_minus_neighborhood_interval_score_80,delete_count_observed,delete_count_marginal_crps,delete_count_neighborhood_crps,delete_count_marginal_minus_neighborhood_crps,delete_count_marginal_lower_80,delete_count_marginal_upper_80,delete_count_marginal_covered_80,delete_count_marginal_width_80,delete_count_marginal_interval_score_80,delete_count_neighborhood_lower_80,delete_count_neighborhood_upper_80,delete_count_neighborhood_covered_80,delete_count_neighborhood_width_80,delete_count_neighborhood_interval_score_80,delete_count_marginal_minus_neighborhood_interval_score_80,word_count_observed,word_count_marginal_crps,word_count_neighborhood_crps,word_count_marginal_minus_neighborhood_crps,word_count_marginal_lower_80,word_count_marginal_upper_80,word_count_marginal_covered_80,word_count_marginal_width_80,word_count_marginal_interval_score_80,word_count_neighborhood_lower_80,word_count_neighborhood_upper_80,word_count_neighborhood_covered_80,word_count_neighborhood_width_80,word_count_neighborhood_interval_score_80,word_count_marginal_minus_neighborhood_interval_score_80,line_count_observed,line_count_marginal_crps,line_count_neighborhood_crps,line_count_marginal_minus_neighborhood_crps,line_count_marginal_lower_80,line_count_marginal_upper_80,line_count_marginal_covered_80,line_count_marginal_width_80,line_count_marginal_interval_score_80,line_count_neighborhood_lower_80,line_count_neighborhood_upper_80,line_count_neighborhood_covered_80,line_count_neighborhood_width_80,line_count_neighborhood_interval_score_80,line_count_marginal_minus_neighborhood_interval_score_80,source_similarity_observed,source_similarity_marginal_crps,source_similarity_neighborhood_crps,source_similarity_marginal_minus_neighborhood_crps,source_similarity_marginal_lower_80,source_similarity_marginal_upper_80,source_similarity_marginal_covered_80,source_similarity_marginal_width_80,source_similarity_marginal_interval_score_80,source_similarity_neighborhood_lower_80,source_similarity_neighborhood_upper_80,source_similarity_neighborhood_covered_80,source_similarity_neighborhood_width_80,source_similarity_neighborhood_interval_score_80,source_similarity_marginal_minus_neighborhood_interval_score_80
train_0114,111,206,1,0.207035,32.000000,5.963380,6.382055,-0.418675,13.000000,81.000000,1,68.000000,68.000000,15.000000,82.000000,1,67.000000,67.000000,1.000000,96.000000,7.171595,7.244224,-0.072629,66.000000,102.461538,1,36.461538,36.461538,68.820000,102.350649,1,33.530649,33.530649,2.930889,67.000000,100.189856,75.722451,24.467406,113.000000,287.000000,0,174.000000,634.000000,59.000000,278.000000,1,219.000000,219.000000,415.000000,1.000000,0.541462,0.386628,0.154834,1.000000,20.000000,1,19.000000,19.000000,1.000000,19.000000,1,18.000000,18.000000,1.000000,0.139194,0.036298,0.043195,-0.006897,0.041667,0.391489,1,0.349823,0.349823,0.052288,0.377358,1,0.325071,0.325071,0.024752
train_0115,56,79,1,0.152144,146.000000,93.351336,91.786179,1.565156,13.000000,80.000000,0,67.000000,727.000000,9.000000,81.000000,0,72.000000,722.000000,5.000000,36.000000,3.778351,4.208180,-0.429829,33.297297,51.692308,1,18.395010,18.395010,33.394495,53.415385,1,20.020889,20.020889,-1.625879,230.000000,118.874375,126.391330,-7.516955,0.000000,155.000000,0,155.000000,905.000000,0.000000,149.000000,0,149.000000,959.000000,-54.000000,20.000000,13.432773,12.854118,0.578655,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.122977,0.040811,0.041579,-0.000768,0.041667,0.391489,1,0.349823,0.349823,0.027211,0.377358,1,0.350148,0.350148,-0.000325
train_0116,3,3,1,0.106189,58.000000,14.814333,16.452341,-1.638008,13.000000,81.000000,1,68.000000,68.000000,11.000000,81.000000,1,70.000000,70.000000,-2.000000,2.000000,0.163989,0.150957,0.013032,1.783784,2.769231,1,0.985447,0.985447,1.714286,2.714286,1,1.000000,1.000000,-0.014553,77.000000,42.007342,35.904998,6.102344,0.000000,84.000000,1,84.000000,84.000000,0.000000,91.000000,1,91.000000,91.000000,-7.000000,1.000000,0.541462,0.830993,-0.289531,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.025000,0.101411,0.106969,-0.005558,0.044444,0.391489,0,0.347045,0.541489,0.061538,0.407186,0,0.345647,0.711032,-0.169542
train_0117,35,50,21,0.161144,9.000000,16.706139,13.429519,3.276620,14.000000,81.000000,0,67.000000,117.000000,11.000000,72.000000,0,61.000000,81.000000,36.000000,28.000000,1.323460,1.600128,-0.276668,20.810811,32.307692,1,11.496881,11.496881,20.263158,32.272727,1,12.009569,12.009569,-0.512688,16.000000,19.878339,16.152659,3.725680,0.000000,131.000000,1,131.000000,131.000000,0.000000,124.000000,1,124.000000,124.000000,7.000000,16.000000,4.017026,3.975865,0.041162,2.000000,40.000000,1,38.000000,38.000000,2.000000,40.000000,1,38.000000,38.000000,0.000000,0.121212,0.041431,0.049324,-0.007893,0.041667,0.391489,1,0.349823,0.349823,0.052288,0.368000,1,0.315712,0.315712,0.034110
train_0118,85,123,20,0.215053,102.000000,49.907347,46.577120,3.330227,13.000000,80.000000,0,67.000000,287.000000,15.000000,83.000000,0,68.000000,258.000000,29.000000,64.000000,2.747900,2.738015,0.009886,50.540541,78.461538,1,27.920998,27.920998,52.888889,79.014085,1,26.125196,26.125196,1.795802,213.000000,62.353408,78.340700,-15.987293,30.000000,199.000000,0,169.000000,309.000000,0.000000,195.000000,0,195.000000,375.000000,-66.000000,20.000000,1.030674,1.322187,-0.291513,1.000000,39.000000,1,38.000000,38.000000,1.000000,37.000000,1,36.000000,36.000000,2.000000,0.130952,0.038440,0.048788,-0.010348,0.041667,0.391489,1,0.349823,0.349823,0.052632,0.391489,1,0.338858,0.338858,0.010965
train_0119,68,101,20,0.176319,17.000000,10.233458,10.459013,-0.225555,13.000000,81.000000,1,68.000000,68.000000,16.000000,85.000000,1,69.000000,69.000000,-1.000000,62.000000,6.523262,5.459136,1.064126,40.432432,62.769231,1,22.336798,22.336798,40.550459,63.211268,1,22.660809,22.660809,-0.324011,23.000000,48.132832,40.316348,7.816484,8.000000,182.000000,1,174.000000,174.000000,0.000000,177.000000,1,177.000000,177.000000,-3.000000,1.000000,14.300347,15.810831,-1.510484,1.000000,39.000000,1,38.000000,38.000000,10.000000,39.000000,0,29.000000,119.000000,-81.000000,0.080645,0.058920,0.054115,0.004805,0.041667,0.391489,1,0.349823,0.349823,0.044444,0.351220,1,0.306775,0.306775,0.043048
train_0120,43,86,20,0.198311,25.000000,6.463358,5.145554,1.317804,13.000000,81.000000,1,68.000000,68.000000,9.000000,72.000000,1,63.000000,63.000000,5.000000,32.000000,1.413802,1.531252,-0.117450,25.567568,39.692308,1,14.124740,14.124740,24.894737,40.885246,1,15.990509,15.990509,-1.865769,100.000000,15.868069,18.124503,-2.256434,0.000000,167.000000,1,167.000000,167.000000,0.000000,160.000000,1,160.000000,160.000000,7.000000,20.000000,1.030674,1.121477,-0.090803,1.000000,39.000000,1,38.000000,38.000000,1.000000,39.000000,1,38.000000,38.000000,0.000000,0.494624,0.228997,0.208257,0.020740,0.041667,0.377358,0,0.335692,1.508343,0.027211,0.377358,0,0.350148,1.522799,-0.014456
train_0121,70,128,20,0.174440,44.000000,8.382190,8.135981,0.246209,13.000000,81.000000,1,68.000000,68.000000,13.000000,72.000000,1,59.000000,59.000000,9.000000,51.000000,2.430791,2.006295,0.424496,41.621622,64.615385,1,22.993763,22.993763,43.400000,63.636364,1,20.236364,20.236364,2.757399,123.000000,14.546417,13.833095,0.713322,35.000000,209.000000,1,174.000000,174.000000,24.000000,204.000000,1,180.000000,180.000000,-6.000000,20.000000,1.030674,1.322025,-0.291351,1.000000,39.000000,1,38.000000,38.000000,1.000000,39.000000,1,38.000000,38.000000,0.000000,0.310757,0.078400,0.059760,0.018640,0.041667,0.391489,1,0.349823,0.349823,0.060976,0.418033,1,0.357057,0.357057,-0.007234
train_0122,28,40,1,0.178211,27.000000,6.098509,5.939534,0.158975,13.000000,81.000000,1,68.000000,68.000000,13.000000,80.000000,1,67.000000,67.000000,1.000000,18.000000,1.889176,1.375951,0.513225,16.648649,25.846154,1,9.197505,9.197505,16.210526,25.200000,1,8.989474,8.989474,0.208032,98.000000,36.083600,40.546510,-4.462910,0.000000,121.000000,1,121.000000,121.000000,0.000000,116.000000,1,116.000000,116.000000,5.000000,1.000000,0.541462,0.579885,-0.038423,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.246377,0.046405,0.040426,0.005979,0.041667,0.391489,1,0.349823,0.349823,0.062500,0.469274,1,0.406774,0.406774,-0.056951
train_0123,54,98,1,0.229085,95.000000,43.380613,42.747562,0.633051,13.000000,80.000000,0,67.000000,217.000000,13.000000,83.000000,0,70.000000,190.000000,27.000000,43.000000,1.993263,2.000074,-0.006812,32.108108,49.846154,1,17.738046,17.738046,31.263158,49.792208,1,18.529050,18.529050,-0.791004,170.000000,47.527724,58.499697,-10.971973,5.000000,179.000000,1,174.000000,174.000000,0.000000,173.000000,1,173.000000,173.000000,1.000000,1.000000,0.541462,0.299913,0.241549,1.000000,20.000000,1,19.000000,19.000000,1.000000,19.000000,1,18.000000,18.000000,1.000000,0.261194,0.052474,0.043681,0.008793,0.041667,0.391489,1,0.349823,0.349823,0.070423,0.412281,1,0.341858,0.341858,0.007965
