id,source_unique_tokens,source_word_count,source_line_count,mean_text_only_neighbor_cosine_similarity,mean_demographics_only_neighbor_cosine_similarity,mean_combined_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_text_only_crps,add_count_demographics_only_crps,add_count_combined_crps,delete_count_observed,delete_count_marginal_crps,delete_count_text_only_crps,delete_count_demographics_only_crps,delete_count_combined_crps,word_count_observed,word_count_marginal_crps,word_count_text_only_crps,word_count_demographics_only_crps,word_count_combined_crps,line_count_observed,line_count_marginal_crps,line_count_text_only_crps,line_count_demographics_only_crps,line_count_combined_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_text_only_crps,source_similarity_demographics_only_crps,source_similarity_combined_crps
train_0082,20,21,20,0.097309,0.469665,0.121397,13.000000,13.287374,12.566659,10.896649,11.578528,13.000000,1.266403,1.476668,1.343718,1.396132,20.000000,10.612495,13.446970,9.734548,12.451811,1.000000,14.300347,16.446505,16.425670,15.986203,0.146341,0.034816,0.033108,0.037797,0.035096
train_0083,58,114,20,0.185140,0.481381,0.188074,50.000000,10.719923,9.855656,10.819243,9.201148,42.000000,2.057390,1.849836,1.816468,1.803919,118.000000,14.387730,14.108349,12.751137,13.900379,20.000000,1.030674,1.404417,1.117901,1.154473,0.318966,0.083502,0.055761,0.069143,0.054647
train_0084,4,4,1,0.228101,0.450678,0.171430,1.000000,24.300392,21.441118,21.635451,20.110789,1.000000,1.747800,1.641116,1.781197,1.670339,4.000000,7.411648,7.451294,5.789821,7.081629,1.000000,0.541462,0.570108,0.609597,0.640300,0.750000,0.480220,0.416675,0.500409,0.457636
train_0085,36,48,1,0.131802,0.472508,0.135986,83.000000,32.651367,40.831695,28.604047,40.104078,27.000000,1.166678,1.284461,1.014701,1.255968,139.000000,61.932841,75.402021,59.993515,76.130313,1.000000,0.541462,0.259603,0.464455,0.348844,0.160428,0.033057,0.041939,0.034565,0.041222
train_0086,28,42,1,0.152357,0.380748,0.157757,21.000000,7.868700,8.201989,6.385322,7.663388,12.000000,7.234827,6.710277,7.061647,6.505411,51.000000,13.363362,13.059160,13.057060,12.671472,1.000000,0.541462,0.609745,0.651544,0.592214,0.473118,0.208945,0.190285,0.223906,0.197667
train_0087,201,411,1,0.224494,0.381532,0.223280,71.000000,23.246385,20.029792,30.734647,20.329812,160.000000,7.406868,6.363990,7.873989,6.479330,227.000000,142.208324,111.459207,151.969921,110.278614,1.000000,0.541462,0.341244,0.894120,0.343635,0.206897,0.035883,0.030107,0.036906,0.030380
train_0088,50,90,20,0.196930,0.355380,0.191793,113.000000,60.433899,62.053517,59.866406,61.850854,31.000000,4.131072,3.699464,5.108005,3.953925,220.000000,98.676411,105.549905,95.040474,106.034640,1.000000,14.300347,15.618612,14.439807,15.177535,0.187097,0.032730,0.035656,0.033573,0.033164
train_0089,63,110,20,0.221074,0.503118,0.221370,22.000000,7.436287,8.346421,7.010230,7.898894,56.000000,5.022427,4.288702,4.069173,4.079647,91.000000,16.396649,18.246729,15.945177,18.121345,19.000000,1.503626,1.757729,1.322776,1.762620,0.358209,0.111087,0.106250,0.133526,0.113247
train_0090,115,196,1,0.185173,0.404273,0.186327,85.000000,34.408045,30.385260,32.786358,30.394307,94.000000,4.931096,4.027296,6.277291,4.037351,163.000000,20.807846,18.296231,24.729616,18.272957,1.000000,0.541462,0.397612,0.484696,0.399325,0.139276,0.036279,0.037066,0.044666,0.037129
train_0091,25,47,1,0.192387,0.535585,0.201637,9.000000,16.706139,14.001371,14.089062,13.388015,18.000000,0.906376,0.813347,1.236590,0.847586,16.000000,18.577857,17.736140,18.242288,17.889361,1.000000,0.541462,0.481965,0.851072,0.563647,0.190476,0.033150,0.036685,0.033193,0.034442
