id,source_unique_tokens,observed_addition_budget,reachable_observed_additions,reachable_fraction,marginal_hits,marginal_recovered_fraction,source_conditioned_hits,source_conditioned_recovered_fraction,conditioned_minus_marginal
train_0088,50,113,79,0.699115,31,0.274336,29,0.256637,-0.017699
train_0089,63,22,22,1.000000,6,0.272727,5,0.227273,-0.045455
train_0090,115,85,69,0.811765,27,0.317647,25,0.294118,-0.023529
train_0091,25,9,8,0.888889,1,0.111111,1,0.111111,0.000000
train_0092,32,81,62,0.765432,24,0.296296,20,0.246914,-0.049383
train_0093,23,34,32,0.941176,8,0.235294,8,0.235294,0.000000
train_0094,69,21,18,0.857143,1,0.047619,0,0.000000,-0.047619
train_0095,90,59,36,0.610169,9,0.152542,9,0.152542,0.000000
train_0096,52,40,32,0.800000,8,0.200000,9,0.225000,0.025000
train_0097,28,12,12,1.000000,3,0.250000,2,0.166667,-0.083333
train_0098,118,1,0,0.000000,0,0.000000,0,0.000000,0.000000
train_0099,61,94,47,0.500000,16,0.170213,15,0.159574,-0.010638
train_0100,20,3,3,1.000000,0,0.000000,0,0.000000,0.000000
train_0101,42,36,28,0.777778,4,0.111111,4,0.111111,0.000000
train_0102,65,5,4,0.800000,2,0.400000,2,0.400000,0.000000
train_0103,33,62,53,0.854839,21,0.338710,20,0.322581,-0.016129
train_0104,20,78,65,0.833333,29,0.371795,26,0.333333,-0.038462
train_0105,158,63,42,0.666667,11,0.174603,11,0.174603,0.000000
train_0106,21,14,13,0.928571,3,0.214286,2,0.142857,-0.071429
train_0107,28,34,23,0.676471,6,0.176471,4,0.117647,-0.058824
train_0108,37,33,30,0.909091,8,0.242424,6,0.181818,-0.060606
train_0109,24,23,13,0.565217,3,0.130435,2,0.086957,-0.043478
train_0110,64,19,16,0.842105,3,0.157895,2,0.105263,-0.052632
train_0111,59,26,22,0.846154,7,0.269231,4,0.153846,-0.115385
train_0112,79,111,81,0.729730,25,0.225225,23,0.207207,-0.018018
train_0113,50,39,32,0.820513,8,0.205128,8,0.205128,0.000000
train_0114,111,32,28,0.875000,5,0.156250,3,0.093750,-0.062500
train_0115,56,146,107,0.732877,42,0.287671,43,0.294521,0.006849
train_0116,3,58,50,0.862069,20,0.344828,16,0.275862,-0.068966
train_0117,35,9,5,0.555556,0,0.000000,0,0.000000,0.000000
train_0118,85,102,69,0.676471,19,0.186275,18,0.176471,-0.009804
train_0119,68,17,14,0.823529,0,0.000000,0,0.000000,0.000000
train_0120,43,25,23,0.920000,4,0.160000,4,0.160000,0.000000
train_0121,70,44,34,0.772727,7,0.159091,6,0.136364,-0.022727
train_0122,28,27,23,0.851852,4,0.148148,2,0.074074,-0.074074
train_0123,54,95,74,0.778947,31,0.326316,25,0.263158,-0.063158
train_0124,11,81,67,0.827160,28,0.345679,23,0.283951,-0.061728
train_0125,26,49,40,0.816327,12,0.244898,10,0.204082,-0.040816
train_0126,21,14,10,0.714286,0,0.000000,0,0.000000,0.000000
train_0127,25,23,17,0.739130,3,0.130435,4,0.173913,0.043478
train_0128,77,21,18,0.857143,1,0.047619,0,0.000000,-0.047619
train_0129,27,17,15,0.882353,0,0.000000,0,0.000000,0.000000
train_0130,22,28,21,0.750000,3,0.107143,3,0.107143,0.000000
train_0131,103,26,17,0.653846,1,0.038462,1,0.038462,0.000000
train_0132,42,26,22,0.846154,4,0.153846,5,0.192308,0.038462
train_0133,60,53,34,0.641509,11,0.207547,13,0.245283,0.037736
