id,source_unique_tokens,observed_addition_budget,reachable_observed_additions,reachable_fraction,mean_neighbor_cosine_similarity,marginal_hits,marginal_recovered_fraction,neighborhood_hits,neighborhood_recovered_fraction,neighborhood_minus_marginal,top_set_overlap_fraction
train_0138,23,19,15,0.789474,0.141821,1,0.052632,0,0.000000,-0.052632,0.789474
train_0139,41,40,32,0.800000,0.168303,11,0.275000,13,0.325000,0.050000,0.700000
train_0140,12,18,17,0.944444,0.084531,3,0.166667,6,0.333333,0.166667,0.722222
train_0141,64,25,20,0.800000,0.179638,2,0.080000,2,0.080000,0.000000,0.800000
train_0142,85,60,40,0.666667,0.161937,10,0.166667,10,0.166667,0.000000,0.750000
train_0143,85,26,20,0.769231,0.187432,1,0.038462,1,0.038462,0.000000,0.730769
train_0144,130,19,9,0.473684,0.166739,0,0.000000,0,0.000000,0.000000,0.684211
train_0145,48,49,40,0.816327,0.170647,14,0.285714,11,0.224490,-0.061224,0.775510
train_0146,61,5,5,1.000000,0.184937,0,0.000000,0,0.000000,0.000000,1.000000
train_0147,156,52,30,0.576923,0.210049,7,0.134615,4,0.076923,-0.057692,0.615385
train_0148,30,43,33,0.767442,0.158644,12,0.279070,11,0.255814,-0.023256,0.744186
train_0149,49,21,15,0.714286,0.165545,1,0.047619,0,0.000000,-0.047619,0.761905
train_0150,94,68,51,0.750000,0.190623,10,0.147059,9,0.132353,-0.014706,0.823529
