id,source_unique_tokens,source_word_count,source_line_count,mean_source_form_neighbor_similarity,mean_text_only_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_source_form_only_crps,add_count_text_only_crps,delete_count_observed,delete_count_marginal_crps,delete_count_source_form_only_crps,delete_count_text_only_crps,word_count_observed,word_count_marginal_crps,word_count_source_form_only_crps,word_count_text_only_crps,line_count_observed,line_count_marginal_crps,line_count_source_form_only_crps,line_count_text_only_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_source_form_only_crps,source_similarity_text_only_crps
train_0073,36,72,1,0.687803,0.164571,80.000000,30.124454,32.546144,33.809774,21.000000,4.008520,3.727475,3.400291,148.000000,50.186208,48.757288,51.127683,1.000000,0.541462,1.285918,0.890683,0.200000,0.034565,0.033068,0.041854
train_0074,109,171,20,0.527702,0.218857,92.000000,40.651007,38.081061,36.969206,65.000000,10.971724,13.362702,13.528977,207.000000,24.580199,35.853825,39.072364,20.000000,1.030674,2.145416,1.079967,0.243386,0.045305,0.045264,0.042328
train_0075,88,157,1,0.712126,0.167032,38.000000,6.733616,6.298288,6.577679,80.000000,8.263816,7.648631,7.075275,68.000000,56.704698,45.473943,44.377347,1.000000,0.541462,0.735720,0.381009,0.160000,0.033091,0.034611,0.033683
train_0076,31,34,1,0.649612,0.098809,37.000000,6.544435,6.249509,7.615824,27.000000,2.116880,2.260258,2.887753,53.000000,15.382190,12.641214,14.691915,1.000000,0.541462,1.201375,0.618826,0.068966,0.066338,0.053616,0.080711
train_0077,84,179,1,0.666485,0.189190,64.000000,18.462817,15.595687,18.103808,61.000000,2.949380,3.199383,2.837279,170.000000,15.023557,14.842385,15.325361,20.000000,13.432773,13.444635,14.463796,0.332378,0.092466,0.082696,0.080283
train_0078,98,135,1,0.691865,0.171256,39.000000,6.949822,6.328689,6.689081,85.000000,6.476303,5.728283,6.023161,76.000000,34.930544,26.162349,26.988692,1.000000,0.541462,0.707976,0.768498,0.104265,0.048104,0.056738,0.049757
train_0079,25,27,1,0.645065,0.147483,21.000000,7.868700,6.986626,7.797726,15.000000,2.443307,2.449755,2.243683,36.000000,12.078555,12.056969,12.897734,1.000000,0.541462,1.109470,0.659261,0.222222,0.039406,0.047434,0.034017
train_0080,21,22,20,0.489305,0.097451,32.000000,5.963380,5.893465,5.976499,12.000000,2.552021,2.267565,2.459332,96.000000,45.592045,36.557007,34.485569,21.000000,1.598216,2.034948,1.476276,0.084746,0.056801,0.048236,0.048203
train_0081,28,50,20,0.568241,0.100529,18.000000,9.557813,7.885039,8.006381,18.000000,1.889176,1.453814,1.395302,28.000000,15.865006,19.934642,15.186344,1.000000,14.300347,11.478555,14.946771,0.153846,0.033766,0.036571,0.053987
train_0082,20,21,20,0.478150,0.097309,13.000000,13.287374,11.652025,12.566659,13.000000,1.266403,1.080712,1.476668,20.000000,10.612495,14.440013,13.446970,1.000000,14.300347,12.549378,16.446505,0.146341,0.034816,0.032028,0.033108
train_0083,58,114,20,0.703208,0.185140,50.000000,10.719923,10.639592,9.855656,42.000000,2.057390,2.237327,1.849836,118.000000,14.387730,15.540272,14.108349,20.000000,1.030674,1.760357,1.404417,0.318966,0.083502,0.072485,0.055761
train_0084,4,4,1,0.244393,0.228101,1.000000,24.300392,24.213035,21.441118,1.000000,1.747800,1.704842,1.641116,4.000000,7.411648,14.524392,7.451294,1.000000,0.541462,0.673005,0.570108,0.750000,0.480220,0.535093,0.416675
train_0085,36,48,1,0.672263,0.131802,83.000000,32.651367,36.062291,40.831695,27.000000,1.166678,1.101459,1.284461,139.000000,61.932841,56.464543,75.402021,1.000000,0.541462,1.092109,0.259603,0.160428,0.033057,0.028977,0.041939
train_0086,28,42,1,0.675826,0.152357,21.000000,7.868700,7.163008,8.201989,12.000000,7.234827,7.060528,6.710277,51.000000,13.363362,13.028232,13.059160,1.000000,0.541462,1.212184,0.609745,0.473118,0.208945,0.231456,0.190285
train_0087,201,411,1,0.372211,0.224494,71.000000,23.246385,20.411728,20.029792,160.000000,7.406868,6.106178,6.363990,227.000000,142.208324,100.461733,111.459207,1.000000,0.541462,0.471717,0.341244,0.206897,0.035883,0.032201,0.030107
train_0088,50,90,20,0.672484,0.196930,113.000000,60.433899,61.319214,62.053517,31.000000,4.131072,4.490972,3.699464,220.000000,98.676411,108.004004,105.549905,1.000000,14.300347,10.396315,15.618612,0.187097,0.032730,0.039612,0.035656
train_0089,63,110,20,0.711894,0.221074,22.000000,7.436287,8.361811,8.346421,56.000000,5.022427,4.404462,4.288702,91.000000,16.396649,15.084968,18.246729,19.000000,1.503626,1.832234,1.757729,0.358209,0.111087,0.096945,0.106250
train_0090,115,196,1,0.592507,0.185173,85.000000,34.408045,32.239531,30.385260,94.000000,4.931096,4.118934,4.027296,163.000000,20.807846,16.776166,18.296231,1.000000,0.541462,0.599882,0.397612,0.139276,0.036279,0.039062,0.037066
train_0091,25,47,1,0.652110,0.192387,9.000000,16.706139,15.643382,14.001371,18.000000,0.906376,0.807840,0.813347,16.000000,18.577857,25.511947,17.736140,1.000000,0.541462,1.247435,0.481965,0.190476,0.033150,0.030701,0.036685
train_0092,32,33,1,0.637828,0.122251,81.000000,30.935228,35.004535,31.058115,22.000000,1.464393,1.451723,1.608718,152.000000,86.341831,76.746938,90.523236,1.000000,0.541462,1.200186,0.964460,0.075676,0.061874,0.049320,0.062838
train_0093,23,26,2,0.598549,0.122306,34.000000,6.112022,5.293502,6.257797,17.000000,0.767917,0.789937,0.896013,88.000000,37.568353,28.668336,42.830270,20.000000,12.734607,11.073437,13.021997,0.157895,0.033290,0.031262,0.042558
train_0094,69,112,20,0.701620,0.219052,21.000000,7.868700,8.873173,8.893808,63.000000,6.687154,5.770852,5.750198,30.000000,51.187874,46.630513,39.612607,1.000000,14.300347,10.549552,12.733447,0.070423,0.065314,0.075319,0.082246
train_0095,90,143,1,0.724131,0.175797,59.000000,15.381875,12.951034,13.421126,75.000000,4.391566,3.856857,4.146852,123.000000,16.694969,13.717002,16.525117,1.000000,0.541462,0.721393,0.384255,0.142857,0.035505,0.038826,0.029715
train_0096,52,90,1,0.746901,0.184315,40.000000,7.193054,7.484052,8.502148,39.000000,1.685202,1.766708,1.871012,95.000000,14.274807,13.640984,13.400918,1.000000,0.541462,1.117763,0.884118,0.216216,0.037945,0.034220,0.034082
train_0097,28,66,1,0.639802,0.182318,12.000000,14.125175,11.901528,12.522386,18.000000,1.889176,1.745783,1.553161,40.000000,17.585649,18.139948,15.066809,10.000000,6.176343,5.237311,6.045987,0.377358,0.125921,0.129619,0.108694
train_0098,118,270,1,0.507785,0.179387,1.000000,24.300392,28.410302,27.058006,115.000000,17.706919,16.476725,19.163145,4.000000,221.563623,195.685847,208.230656,1.000000,0.541462,0.510385,0.594175,0.021898,0.104287,0.115496,0.116656
train_0099,61,126,20,0.695779,0.166945,94.000000,42.461736,41.866514,41.608408,47.000000,2.004555,2.026650,2.072711,164.000000,25.513130,30.516410,35.172471,1.000000,14.300347,10.350122,14.009303,0.179310,0.032515,0.042091,0.037638
train_0100,20,27,1,0.619361,0.150172,3.000000,22.327508,21.754131,20.307158,18.000000,1.745987,1.839268,2.258084,5.000000,14.146029,23.214097,16.418945,1.000000,0.541462,1.112995,0.746640,0.062500,0.070968,0.054294,0.106190
train_0101,42,58,1,0.687667,0.159972,36.000000,6.382280,6.603411,6.323132,36.000000,2.532891,2.914830,2.423599,74.000000,15.773839,14.902267,17.699906,20.000000,13.432773,10.827274,12.495343,0.090909,0.053878,0.056668,0.053689
train_0102,65,113,1,0.728253,0.153720,5.000000,20.381649,22.565118,19.695261,65.000000,11.357213,11.581718,9.844558,5.000000,72.313049,73.457356,57.324032,1.000000,0.541462,0.947342,0.760308,0.000000,0.125540,0.146465,0.120135
train_0103,33,87,4,0.498486,0.191649,62.000000,17.192604,18.225517,21.298818,17.000000,5.730371,5.629446,4.805467,122.000000,23.733661,21.573991,24.859192,1.000000,2.373136,3.805370,2.344289,0.296651,0.070137,0.064581,0.054237
train_0104,20,20,20,0.470243,0.123702,78.000000,28.556957,33.634409,30.610472,15.000000,0.648155,0.734224,0.622368,162.000000,106.532453,99.621337,93.858578,29.000000,6.665556,8.038424,6.823525,0.032967,0.094383,0.083212,0.075317
train_0105,158,285,20,0.427746,0.221807,63.000000,17.814198,16.643316,17.478109,103.000000,9.834324,12.641977,12.006536,196.000000,56.787937,38.433919,40.172096,20.000000,1.030674,1.871120,1.284243,0.274428,0.058742,0.056920,0.050341
train_0106,21,21,1,0.611909,0.150560,14.000000,12.476600,11.767769,12.227440,12.000000,2.552021,2.659157,2.609915,27.000000,10.869240,11.949789,10.626392,1.000000,0.541462,1.026723,0.400566,0.291667,0.067468,0.090309,0.055758
train_0107,28,32,1,0.655170,0.121126,34.000000,6.112022,5.393565,6.802603,24.000000,1.688594,1.764323,1.514264,52.000000,15.515788,12.830183,20.284273,12.000000,7.554660,6.748124,7.784350,0.071429,0.064628,0.050220,0.061252
train_0108,37,62,1,0.696175,0.178296,33.000000,6.017432,5.874917,7.065180,28.000000,1.194838,1.170422,1.340365,86.000000,18.556191,17.208334,18.570468,1.000000,0.541462,1.286188,0.349358,0.283784,0.063420,0.063386,0.054830
train_0109,24,65,20,0.544003,0.156591,23.000000,7.071438,5.618261,5.922218,21.000000,1.699029,2.249654,2.057771,73.000000,14.167965,13.776914,13.283123,19.000000,1.503626,1.729590,1.621433,0.579710,0.310452,0.287455,0.248950
train_0110,64,94,1,0.733381,0.177818,19.000000,8.949732,9.642485,12.470574,52.000000,2.646969,2.719499,2.673554,77.000000,15.926265,14.849532,21.151371,1.000000,0.541462,1.095079,0.339740,0.187135,0.032733,0.030737,0.026376
train_0111,59,113,1,0.720009,0.208479,26.000000,6.233638,7.334011,5.928190,45.000000,1.914124,2.019637,2.061842,90.000000,17.274988,16.074061,17.913915,1.000000,0.541462,1.096759,0.721418,0.305419,0.075190,0.062824,0.071330
train_0112,79,137,1,0.730069,0.187694,111.000000,58.488041,56.085950,62.224088,49.000000,6.512499,7.526378,7.678306,281.000000,112.392280,127.361037,130.655101,21.000000,14.378677,13.995873,14.667172,0.239234,0.043941,0.035301,0.045751
train_0113,50,94,1,0.735752,0.156626,39.000000,6.949822,7.277541,7.065196,36.000000,1.812753,1.843000,1.807217,99.000000,14.318229,13.619146,17.216109,19.000000,12.662538,10.953736,13.297269,0.321244,0.084949,0.079645,0.067578
train_0114,111,206,1,0.593373,0.205988,32.000000,5.963380,6.906960,6.578426,96.000000,7.171595,6.389417,7.426871,67.000000,100.189856,81.458005,77.615544,1.000000,0.541462,0.600947,0.386611,0.139194,0.036298,0.039144,0.043354
train_0115,56,79,1,0.738190,0.149660,146.000000,93.351336,94.568394,87.643416,36.000000,3.778351,3.860613,3.971706,230.000000,118.874375,121.494507,122.926728,20.000000,13.432773,11.394174,12.905474,0.122977,0.040811,0.045060,0.038809
train_0116,3,3,1,0.222386,0.081402,58.000000,14.814333,17.372443,17.402343,2.000000,0.163989,0.156380,0.157877,77.000000,42.007342,33.419781,43.283366,1.000000,0.541462,0.665449,0.906591,0.025000,0.101411,0.080542,0.109419
train_0117,35,50,21,0.572504,0.152386,9.000000,16.706139,15.605032,13.813185,28.000000,1.323460,1.676762,1.694752,16.000000,19.878339,23.495032,17.847496,16.000000,4.017026,3.136608,4.068974,0.121212,0.041431,0.047416,0.051858
train_0118,85,123,20,0.631117,0.215821,102.000000,49.907347,49.781076,47.062308,64.000000,2.747900,2.892803,2.840377,213.000000,62.353408,75.424244,79.527125,20.000000,1.030674,2.030082,1.294164,0.130952,0.038440,0.045414,0.047815
train_0119,68,101,20,0.691162,0.174438,17.000000,10.233458,11.438929,10.655855,62.000000,6.523262,5.627765,5.453251,23.000000,48.132832,43.657248,40.422716,1.000000,14.300347,10.690917,15.800857,0.080645,0.058920,0.067681,0.054810
train_0120,43,86,20,0.653076,0.197412,25.000000,6.463358,6.352789,5.333925,32.000000,1.413802,1.419998,1.596843,100.000000,15.868069,17.373378,18.270729,20.000000,1.030674,1.794790,1.172033,0.494624,0.228997,0.211401,0.202547
train_0121,70,128,20,0.692821,0.173314,44.000000,8.382190,8.660369,8.370422,51.000000,2.430791,2.787310,2.131980,123.000000,14.546417,15.536487,13.978218,20.000000,1.030674,1.937307,1.351093,0.310757,0.078400,0.071317,0.059734
train_0122,28,40,1,0.674948,0.173714,27.000000,6.098509,5.351547,6.261978,18.000000,1.889176,1.728530,1.336762,98.000000,36.083600,28.538951,40.626042,1.000000,0.541462,1.207526,0.510640,0.246377,0.046405,0.051131,0.040216
train_0123,54,98,1,0.738171,0.229022,95.000000,43.380613,44.569497,42.864222,43.000000,1.993263,2.136248,1.993672,170.000000,47.527724,51.306932,58.615692,1.000000,0.541462,1.034431,0.307813,0.261194,0.052474,0.046029,0.043993
